user_id	user_ground_truths	user_top_k_prediction
49152	[60084, 75911, 49063, 66358, 769, 1364, 673, 25375, 890, 894, 40329, 57314, 81587, 58063, 70760, 68412]	[769, 52463, 890, 48737, 40329, 894, 58063, 496, 49063, 24194, 68412, 7633, 673, 37189, 4108, 46140, 57314, 7891, 26974, 25375, 13033, 75911, 70760, 25374, 49731, 13038, 60084, 81587, 949, 27341, 45633, 10515, 46139, 60083, 36581, 47154, 46224, 66358, 51631, 60103, 40335, 43750, 46223, 45725, 60100, 71191, 3537, 46141, 48847, 10608, 20148, 33578, 61385, 40183, 67390, 41735, 33598, 21170, 36448, 36679, 52424, 53047, 42781, 68651, 5225, 53630, 8193, 1364, 44426, 38684, 49714, 81963, 46142, 13013, 13004, 66441, 20574, 49655, 37172, 84112, 43522, 50685, 80794, 42427, 48619, 36582, 50881, 72890, 50818, 49657, 64128, 29144, 31479, 46144, 55659, 36804, 32749, 46380, 29210, 50580]
49153	[73143, 17892, 76292, 69846, 57133, 12208, 59788, 7549, 61045, 15991, 27644, 53472, 63293, 80264, 83515, 78783, 78067, 30217, 52660, 70281, 70426, 47091, 80987, 50739, 50753, 84331, 17211, 57130, 75792]	[8187, 43902, 45737, 11975, 44451, 50450, 60154, 53255, 36845, 17892, 7950, 78783, 17383, 45108, 55436, 47490, 59645, 47188, 61455, 8200, 50482, 27644, 52989, 51626, 69912, 48891, 9510, 57133, 31083, 50865, 30226, 50876, 9026, 48267, 62741, 84331, 58732, 18603, 18967, 70325, 45117, 76883, 48594, 52660, 7549, 50877, 52736, 69827, 68543, 43977, 61003, 52735, 35027, 72722, 55218, 59115, 47197, 26110, 57137, 57759, 14857, 71863, 52625, 46928, 28250, 14066, 46447, 42350, 17546, 36533, 70281, 44277, 53622, 61777, 12208, 80264, 2877, 55021, 52979, 78782, 42330, 29186, 69997, 59788, 14527, 76292, 15991, 17825, 59436, 50744, 61916, 60245, 30255, 52732, 61929, 60250, 47091, 25979, 50753, 48087]
49154	[39973, 50683, 9026, 68356, 60702, 40444, 57448, 60410, 73504, 75231, 45602, 78303, 60648, 25523, 73446, 50100, 44687, 45908, 61340, 84777, 69318, 53856, 14394, 15696, 48587, 87773, 60423, 84407, 84410, 66733, 59210, 63748, 46350, 63977, 64083, 79969, 83584, 80179, 77778, 79482, 76197, 91103, 91104, 91105, 91106, 86124]	[47677, 83584, 66167, 86115, 76197, 83865, 64304, 64800, 74372, 74360, 66830, 64069, 29962, 68356, 73064, 36886, 87669, 45602, 86378, 71253, 47275, 55815, 67837, 59210, 15696, 44900, 77778, 60423, 60033, 48587, 45908, 71931, 73446, 50100, 39973, 60758, 60410, 58875, 45981, 84407, 72122, 71608, 64195, 72377, 60411, 75777, 80179, 79482, 45599, 66291, 28819, 40191, 67528, 68088, 85976, 76429, 21775, 86124, 76864, 63161, 71922, 71925, 56386, 67127, 78721, 27968, 53856, 71923, 78303, 81025, 55800, 71558, 64083, 70896, 60648, 84777, 87333, 62007, 64908, 91104, 76088, 78662, 71068, 85400, 76923, 87649, 42799, 47341, 38755, 57569, 86542, 71070, 58871, 42484, 82633, 83142, 60760, 14394, 61340, 37277]
49155	[55965, 54562, 48840, 55118, 74692, 83775, 36470, 52567, 59588, 55625, 14612, 54166, 55624, 53653, 60945, 69639, 67597, 89598, 73172, 13726, 56747, 53982, 75170, 57517, 53774, 48496, 76593, 63031, 78950, 72911, 71968]	[48167, 43750, 56747, 37245, 47477, 48171, 47476, 28918, 47474, 52813, 60751, 58930, 50399, 53514, 28721, 59194, 52966, 48164, 53515, 53922, 58868, 60752, 68517, 60945, 52567, 55370, 64235, 60946, 24975, 58144, 70401, 53982, 27415, 48642, 70334, 53774, 48840, 60929, 36464, 48883, 26553, 46698, 64415, 59196, 48489, 55625, 69089, 72044, 52063, 59588, 36471, 56376, 53918, 48841, 26542, 61873, 52241, 55509, 48157, 70159, 48176, 67597, 66147, 59211, 68629, 48814, 49851, 63271, 70908, 48487, 60035, 53254, 82293, 50506, 50151, 44557, 76593, 49138, 52828, 48175, 78950, 63762, 69928, 61262, 55624, 61265, 64814, 26549, 60944, 48389, 54659, 49723, 53927, 53541, 36448, 46337, 49868, 82041, 53851, 62684]
49156	[64496, 72194, 51947, 78122, 61383, 78129, 85108, 87829, 88334, 86766, 53024, 51567, 88986, 66909, 53028, 89767, 89876, 79058, 84828, 90533, 81113, 90511]	[82306, 42728, 78129, 63748, 78122, 79058, 43628, 78657, 43627, 84828, 51423, 51574, 42726, 42725, 89767, 81113, 66909, 74244, 53024, 84456, 64594, 87596, 87416, 86750, 84826, 61383, 68617, 55513, 51567, 78873, 88986, 90511, 88105, 38753, 53028, 83093, 72930, 82914, 87496, 82913, 86677, 88007, 48500, 86675, 87829, 85108, 54761, 77813, 68600, 53037, 54332, 88125, 89933, 64521, 83002, 48193, 60894, 84229, 88962, 87828, 86906, 71961, 83382, 51459, 87673, 82539, 80783, 80527, 64993, 64592, 89876, 59576, 55514, 48883, 51947, 65538, 53022, 80551, 45974, 76342, 64500, 60762, 86167, 84450, 87950, 90343, 90066, 85112, 80586, 89678, 68816, 86766, 53948, 51569, 53038, 55503, 88308, 51572, 85163, 84933]
49157	[59392, 47197, 73898, 84560, 49049, 88062, 44218, 78066, 89598, 86770, 89991, 72239, 84501, 44245, 57835, 84212, 84720, 63845, 76551, 80207, 61796, 44226, 80777, 88046, 88049, 74566, 89473, 84340]	[44245, 44226, 49049, 44227, 44234, 44218, 57894, 44228, 38781, 44219, 80207, 73898, 60491, 76551, 57853, 59094, 44223, 47197, 80777, 60485, 84560, 84340, 44224, 57846, 57740, 44514, 22843, 70562, 63852, 57850, 59262, 44230, 70370, 57835, 88064, 84212, 22756, 60487, 85554, 88049, 73107, 77060, 22920, 73899, 60489, 52874, 44515, 86770, 86086, 77683, 62314, 59392, 80480, 65934, 84210, 84209, 44225, 63845, 44266, 87569, 76553, 57883, 50428, 88162, 61796, 46857, 22621, 85336, 74587, 36809, 88062, 84565, 57839, 67036, 84894, 84501, 44221, 46367, 60486, 80481, 66040, 69405, 78065, 86090, 72889, 86969, 66582, 72239, 68953, 57848, 57879, 86271, 89100, 76557, 75242, 88046, 77115, 89471, 59099, 44256]
49158	[57111, 83589, 50411, 55879, 66463, 60713, 74481, 72537, 80183, 49233, 47623, 63174, 82736, 57867, 84779, 76462, 57156, 68594, 77838]	[63174, 57867, 15025, 54321, 67577, 60713, 68594, 51531, 82736, 39973, 50411, 80183, 69870, 37, 58940, 37861, 85026, 69318, 29171, 58924, 55879, 74372, 77838, 55634, 46226, 67229, 32841, 57573, 49233, 74481, 72122, 30780, 66463, 37908, 40127, 52288, 76247, 33466, 53321, 57111, 26518, 48920, 55444, 57570, 57404, 39736, 7950, 73119, 62161, 70485, 80904, 55628, 31858, 72537, 39974, 60657, 58943, 48674, 43861, 67048, 42684, 64351, 76462, 41446, 33022, 32815, 56076, 33639, 66753, 3196, 44866, 60475, 26210, 39769, 60021, 40623, 51079, 33021, 55876, 37064, 17213, 57252, 35790, 57410, 9026, 69113, 16285, 31848, 33359, 70906, 47623, 70977, 57309, 42678, 54120, 15328, 68770, 16134, 50559, 59798]
49159	[52559, 41918, 50505, 70848, 70849, 64517, 72808, 52565, 73747, 63291, 68732, 70872, 59799, 41232, 60637, 70846, 41912, 40159, 42726, 48439, 50455, 54662, 44371, 60538, 70853, 55254, 38959, 46709, 53945, 38753, 77811, 59735, 76607, 88968, 58902, 52860, 60189, 58903, 42728, 72821, 78652, 63228, 64594, 53028]	[38753, 62563, 36471, 60189, 41918, 50519, 44891, 42725, 64516, 59799, 42726, 38959, 64517, 42728, 48397, 59805, 50505, 50523, 59739, 73258, 54723, 59803, 63291, 51965, 51959, 38718, 70872, 64566, 48439, 52829, 54685, 70848, 48438, 60352, 50520, 59802, 64250, 54662, 59800, 50526, 58903, 70855, 59576, 52860, 58902, 51964, 59735, 72817, 28760, 67529, 53018, 70885, 45974, 49146, 76607, 63228, 80244, 50525, 38728, 54666, 28755, 59733, 52839, 52866, 61767, 60351, 48171, 64570, 64540, 48503, 59804, 48183, 28799, 72821, 64545, 63728, 57060, 59947, 53024, 48380, 70895, 70849, 57463, 64993, 52867, 80128, 58906, 72808, 38961, 64596, 52559, 41232, 59742, 48502, 59338, 59330, 70840, 28809, 72930, 53945]
49160	[65378, 54607, 64500, 57058, 51557, 55502, 79843, 64586, 55503, 79848, 64592, 75064, 77522, 82146, 80131, 80524, 61078, 82141, 59803, 87597, 83832, 87674, 65538]	[38753, 59805, 64592, 53020, 64500, 68600, 45974, 75064, 59576, 68574, 61078, 54666, 42728, 42726, 61378, 42725, 65190, 52868, 59792, 59338, 64515, 68601, 80131, 50523, 82141, 79464, 59742, 72579, 54325, 77537, 72933, 64994, 74038, 51459, 64993, 43627, 78122, 84933, 65531, 60349, 48500, 50526, 54659, 83832, 38728, 74211, 85808, 63748, 74345, 85528, 61357, 82146, 79848, 43628, 85807, 52866, 55502, 57058, 80524, 69239, 48397, 66506, 59330, 52865, 59739, 83304, 76027, 50525, 66899, 68617, 66496, 77226, 65537, 68578, 67841, 51423, 68604, 71308, 73271, 79847, 78003, 59572, 86742, 52839, 64545, 57052, 74234, 73288, 79462, 59795, 76342, 65538, 77515, 52860, 67298, 66887, 74338, 55503, 64594, 79843]
49161	[52839, 42726, 78100, 79981, 64515, 54344, 64250, 74339, 64521, 70092, 54325, 79481, 61357, 44891, 52860, 38751, 61369, 51965, 64580]	[42726, 42725, 36471, 52839, 50523, 38959, 38753, 52559, 42728, 64250, 52860, 64545, 59805, 58906, 54666, 54325, 64566, 43750, 74345, 48171, 70092, 61369, 59576, 38728, 50525, 38718, 54662, 52848, 28809, 52565, 40159, 54659, 36473, 51422, 38751, 57066, 55502, 68610, 61357, 59330, 48438, 59578, 73280, 58864, 67298, 52865, 39037, 74038, 48155, 52834, 64500, 52558, 65531, 63732, 71798, 43627, 54344, 64522, 50526, 48653, 78100, 74338, 55377, 64521, 38740, 73810, 46709, 54701, 62964, 83304, 65182, 64570, 60345, 64543, 51964, 63816, 64536, 48439, 60189, 50520, 38727, 59570, 52844, 54343, 72579, 52866, 38720, 39026, 64515, 66661, 51453, 64488, 48157, 78122, 70683, 71297, 60344, 61378, 64248, 58865]
