user_id	user_ground_truths	user_top_k_prediction
30720	[37752, 14275, 31055, 34692, 18607, 16140, 31474, 3848, 25315, 4783, 23095, 19784, 25683, 28519, 8088, 14840, 35455, 30137, 16492, 883, 36668, 25766, 11107, 33732, 3173, 22464, 13530, 19782, 34693, 22861]	[25315, 28519, 3848, 23072, 11107, 27763, 16492, 25766, 18607, 4783, 26258, 15610, 34055, 24144, 26861, 3173, 36826, 33732, 34692, 23077, 22458, 25722, 7367, 35448, 22861, 31473, 29926, 30137, 36668, 3190, 25733, 31055, 30531, 30534, 26588, 883, 19784, 34693, 4773, 25683, 23095, 23110, 23118, 35455, 16102, 25714, 23047, 16937, 30132, 20771, 33847, 11108, 3918, 30001, 32582, 22484, 23661, 30805, 30807, 32557, 35447, 25718, 22456, 19787, 31474, 33652, 19779, 23441, 37290, 33849, 17779, 37752, 32552, 3189, 32556, 14489, 31702, 15611, 24150, 24154, 19782, 30174, 22478, 11110, 33412, 3879, 32568, 23431, 29348, 22464, 23367, 4715, 22462, 34695, 33855, 27633, 3174, 16474, 16725, 18866]
30721	[1056, 15666, 36406, 9805, 31841, 9775, 13759, 12147, 7765, 2686, 24360, 12595, 21867, 1103, 5453, 2531, 24684, 13734, 6497, 13288, 14779, 7509, 11955, 10790, 25330, 31155, 893, 19863, 25329, 1155, 15643, 20235, 1104, 24221, 15672, 33199, 1918, 12924, 4348, 1057, 33992, 10949, 23283, 29816, 2409, 2974, 4186, 8235, 37237, 11510, 927, 5776, 7877, 1072, 660, 2026, 12717, 1035, 30834, 37789, 30810]	[6531, 1264, 4667, 13906, 1134, 1053, 8376, 13094, 13319, 7570, 1478, 12346, 26224, 9822, 2365, 1104, 2507, 2541, 25330, 15275, 7627, 2604, 12878, 7509, 6492, 8830, 2196, 6430, 1397, 25666, 909, 6551, 6490, 1837, 7501, 23139, 4348, 12328, 15664, 1056, 21867, 660, 25138, 25329, 1330, 1114, 4158, 13734, 20235, 17185, 15643, 13288, 9838, 2342, 12595, 7636, 1524, 15672, 12715, 12593, 9805, 15682, 12143, 8832, 2160, 15277, 1253, 6497, 13318, 20076, 20302, 2050, 1509, 8850, 1143, 2494, 1035, 2686, 2482, 1506, 31155, 22423, 19127, 1155, 24684, 12855, 1259, 26180, 13759, 1075, 1031, 6433, 12403, 11510, 31841, 28725, 1496, 1240, 15665, 1044]
30722	[25876, 29521, 1674, 23895, 9952, 25875, 4846, 17093, 3473, 841, 34499, 19051, 29517, 12103, 620, 19048, 23931, 9948, 29803, 27876, 4857, 5294, 22083, 23983, 12205, 4150, 12974, 4843, 2919, 2921, 29525, 576, 17869, 28154, 19037, 595, 8053, 29523, 22085, 13006, 13005, 26686, 36720, 996, 34209, 7259, 21580, 4699, 8465, 29498, 8457, 4686, 300, 21978, 578, 19045, 7538, 17875, 12086, 8464, 619, 5304, 23896, 7535, 7526]	[608, 4686, 2921, 1271, 4675, 4843, 5303, 586, 4857, 9952, 12189, 578, 7535, 837, 12196, 4846, 595, 3090, 10035, 601, 4680, 8464, 26686, 18849, 9929, 566, 4695, 983, 8007, 835, 19053, 603, 4699, 22085, 19042, 619, 13006, 596, 8465, 9083, 15612, 998, 12103, 576, 19046, 4848, 558, 7538, 23983, 5304, 7522, 6642, 6640, 841, 25875, 3470, 5290, 10303, 4150, 4683, 3463, 3473, 4697, 17132, 10018, 622, 22656, 2919, 12179, 17871, 4706, 25876, 29056, 12977, 7272, 6644, 1276, 19045, 614, 9941, 5164, 23895, 5167, 29518, 17093, 8460, 991, 1275, 9948, 29523, 8457, 19041, 7524, 5163, 27989, 23981, 9960, 6066, 4854, 10014]
30723	[1442, 1336, 7177, 7111, 4328, 7126, 1053, 4517, 1141, 1478, 1654, 1713, 4388, 19945, 17250, 11668, 5228, 1248, 1035, 4372, 2604]	[799, 1053, 5228, 1114, 1244, 1257, 4328, 1141, 1256, 1442, 5465, 1035, 7491, 1130, 1104, 11547, 7123, 1240, 7111, 1336, 1253, 660, 4015, 1165, 7506, 7901, 1478, 2604, 1057, 1073, 1069, 7126, 2686, 1661, 2050, 4339, 8764, 1992, 1094, 4539, 6577, 6576, 11540, 6241, 6662, 7177, 10, 8267, 4388, 2199, 1457, 1439, 1590, 1713, 7635, 8763, 18431, 7159, 1621, 4667, 13316, 8152, 1077, 1046, 1438, 2678, 1654, 7909, 2410, 1045, 11520, 8376, 1138, 904, 7502, 1596, 7489, 1855, 8824, 1595, 17250, 4517, 9818, 782, 1189, 6308, 1109, 1896, 1979, 1245, 4158, 1170, 9822, 2916, 7098, 1397, 9800, 1956, 7627, 6306]
30724	[10251, 35244, 1476, 5516, 23296, 24379, 34671, 17342, 15672, 12998, 32636, 1481, 6433, 7509, 4327, 36993, 11661, 31688, 14577, 1460, 4517]	[1134, 1524, 8376, 1478, 7627, 7631, 7509, 11661, 6433, 1104, 1264, 4667, 15672, 12328, 15685, 1053, 1397, 1244, 1515, 35244, 12143, 1259, 12878, 1385, 12346, 12932, 1378, 1526, 1330, 11540, 3379, 1457, 9838, 17342, 21867, 12645, 9822, 1245, 31688, 11510, 15643, 6430, 1474, 13288, 1481, 6431, 6531, 12855, 1114, 2916, 4183, 7822, 7502, 13318, 7506, 7501, 1496, 15664, 17341, 6575, 2482, 30834, 1398, 23296, 24379, 13301, 26224, 904, 7630, 34671, 6551, 1056, 11501, 1240, 4327, 8832, 6211, 30810, 2604, 1317, 4517, 7629, 1837, 4158, 6465, 12593, 15669, 24392, 6500, 6492, 36993, 1518, 12149, 1893, 1460, 909, 32636, 14418, 6403, 15749]
30725	[7365, 16018, 16089, 36561, 30530, 19880, 29233, 25292, 19949, 24504, 4007, 34977, 27354, 24836, 34777, 23089, 28456, 24484, 18956, 37240, 36963, 36955, 26195, 24966, 21411, 21651, 19786, 37740, 24953]	[26195, 25996, 11124, 18956, 26961, 26951, 29260, 7371, 34777, 15986, 7366, 16306, 24953, 7365, 28456, 36955, 24484, 34492, 31634, 25292, 5249, 21411, 24966, 3154, 19949, 4007, 16845, 21421, 24504, 16256, 16018, 29537, 24836, 22540, 19786, 33828, 13527, 17786, 16878, 28839, 36963, 16308, 20940, 18997, 23089, 23019, 31360, 20094, 24723, 23601, 36561, 26968, 20974, 21611, 16797, 18880, 20349, 25064, 21420, 26458, 3999, 16066, 23310, 29233, 16089, 24573, 29281, 18736, 19880, 22565, 10223, 27644, 19002, 21651, 16304, 21277, 23117, 30530, 15598, 30430, 3894, 8088, 31331, 10987, 18343, 18330, 25065, 20369, 25577, 34977, 13436, 14273, 10736, 16879, 14527, 26455, 28284, 33737, 20855, 16075]
30726	[3700, 14410, 13041, 11636, 26572, 15512, 18845, 14562, 3529, 18844, 12849, 24902, 3608, 14346, 8278, 33561, 22878, 7864, 12330, 21270, 10077, 17453, 6659, 5325, 35429, 31693, 10486, 13036, 8340, 2964, 12770, 3794, 33066, 13038, 25352, 3651, 32884, 9553, 14223, 3525]	[11636, 18844, 9553, 3647, 3525, 7442, 10463, 6659, 10374, 7864, 8334, 13038, 33066, 14319, 9569, 7441, 13033, 10482, 14206, 10465, 18791, 15053, 24039, 10508, 3629, 3291, 10486, 28786, 15512, 3608, 4953, 10998, 3811, 1018, 10077, 13032, 4919, 3650, 3651, 2906, 22273, 17744, 11071, 12330, 14410, 12896, 9286, 19470, 2964, 5057, 3794, 7706, 3799, 17453, 8278, 3312, 3529, 18170, 22984, 14346, 15472, 21357, 28880, 4086, 11693, 25860, 15448, 17743, 14667, 16248, 21405, 5325, 6385, 4962, 15439, 15479, 12329, 15450, 15444, 6043, 8756, 4927, 3634, 3771, 2891, 7873, 5326, 12770, 5395, 9278, 3493, 5063, 15474, 5021, 7438, 24458, 10435, 15417, 13034, 22144]
30727	[5623, 6992, 3343, 2628, 1607, 2317, 31906, 10766, 23764, 6613, 7129, 15494, 20284, 30362, 32019, 30246, 15174, 3744]	[20284, 6613, 18661, 4514, 7129, 15494, 30362, 15174, 10766, 31906, 1607, 30246, 5623, 6215, 10946, 2317, 3827, 3744, 3275, 6992, 2628, 20274, 6580, 32019, 3343, 1702, 23764, 659, 11844, 13219, 8558, 5804, 20278, 9414, 3828, 6434, 21312, 13876, 6391, 2632, 13229, 9456, 18656, 6531, 9860, 6841, 4648, 7914, 2082, 24648, 7096, 1030, 4535, 10688, 10751, 4015, 6489, 6469, 1422, 2147, 7159, 6504, 10765, 14995, 1456, 4541, 5530, 3725, 8837, 34111, 13860, 23146, 10859, 1496, 4030, 1155, 6563, 13944, 29881, 6094, 34776, 20039, 8815, 2365, 23912, 1818, 6496, 13, 4369, 15621, 7946, 10947, 4653, 24266, 1404, 1055, 1946, 11096, 2482, 7489]
30728	[24732, 19188, 16482, 37325, 23098, 32619, 33760, 3848, 29922, 25711, 23068, 26276, 32555, 20773, 36526, 23076, 23047, 33734, 29250, 26586, 36424, 32549, 25726, 25718, 32561, 21421, 23115, 11125, 27453, 34180, 34560, 33684, 37708, 29927, 27763, 25712]	[23077, 27763, 23073, 25718, 30807, 23082, 20773, 32555, 23098, 20163, 34174, 11125, 7325, 23096, 23116, 29583, 33849, 24732, 22466, 23053, 35122, 29920, 26258, 22462, 32952, 23060, 16102, 28162, 23081, 23678, 17819, 26861, 25722, 26276, 32561, 18607, 15610, 32568, 30532, 23431, 33859, 32965, 34721, 35453, 26586, 28519, 30537, 34180, 22458, 33732, 25712, 25039, 25723, 23076, 32566, 25733, 31718, 16095, 16108, 22467, 32953, 30001, 29927, 32552, 32554, 24731, 30805, 23048, 24138, 33867, 30536, 23085, 29606, 33686, 35322, 11456, 25725, 3848, 24144, 29914, 13083, 37325, 29923, 22460, 16937, 22956, 37371, 29926, 23047, 24780, 21238, 23107, 23118, 22861, 29922, 35451, 31304, 19787, 29250, 32619]
30729	[23493, 18967, 14393, 6875, 5345, 7702, 10214, 4088, 12984, 21214, 10806, 8396, 10804, 4939, 21206, 19689, 10485, 27890, 7335, 34273, 14423, 29796, 21359, 10423, 5339, 16625, 7597, 10839, 22153, 5657, 8336, 22246, 13236, 10807, 28900, 32189, 5269, 24062, 8277, 23486, 25245, 12536, 11225, 12634, 7138, 18088, 10465, 15463, 2891, 22984, 22412, 12809, 34740, 6258, 2748, 9111, 19024, 11047, 28910, 4959, 9233, 17453, 33573, 3524, 5057, 21233, 31700, 36339, 19273, 21215, 12673, 31701, 4091, 5678, 14477, 10499, 18089, 8667, 15436, 6790, 5683, 766, 12849, 9285, 12988, 22277, 10998, 35935, 15432, 34609, 30517, 3806, 15060, 14367, 30746, 14375, 28908, 19910, 15466, 15446, 4282, 18786, 25860, 5341, 27891, 10490, 7873, 14454, 28965, 22679, 9127, 7719, 5326, 3811, 17646, 15055, 8412, 9286, 10427, 6651, 31698, 35567, 12642, 35429, 3284, 3574, 15479, 37179, 22772, 29065, 28902, 28896, 4894, 5235, 36286, 15053, 33680, 19934, 29146, 28892, 31751, 29442, 29210, 3550, 690, 22776, 3799, 17137, 35782, 83, 30340, 13281, 28786, 31022, 12166, 4896, 8328, 21148, 6940, 17117, 10814, 35205, 5386, 28287, 15445, 5356, 32787, 15453, 27835, 3608]	[4087, 3806, 5345, 9285, 21359, 14423, 3667, 16625, 10806, 2641, 3811, 9244, 3647, 15446, 15058, 15053, 12885, 2891, 33066, 9286, 10508, 4953, 15060, 12642, 24039, 6153, 9279, 22277, 10463, 4237, 13038, 14582, 2906, 27891, 10465, 15463, 29955, 4939, 12809, 6773, 19852, 7706, 8016, 12673, 7138, 3626, 13021, 18844, 22984, 26811, 5341, 22411, 8755, 25860, 1017, 28899, 10482, 22412, 15474, 6385, 14477, 27795, 14410, 4078, 3759, 4091, 27890, 5717, 16248, 33573, 7343, 9265, 7718, 15479, 4894, 24454, 10839, 7719, 9111, 4086, 22147, 13791, 22144, 21206, 15459, 6128, 9569, 9273, 19865, 2897, 13259, 19065, 6877, 5719, 15054, 9283, 21348, 15705, 9584, 855]
